Date Value  
1960M01 1.630000114440  
1960M02 1.630000114440  
1960M03 1.630000114440  
1960M04 1.630000114440  
1960M05 1.630000114440  
1960M06 1.630000114440  
1960M07 1.630000114440  
1960M08 1.630000114440  
1960M09 1.630000114440  
1960M10 1.630000114440  
1960M11 1.630000114440  
1960M12 1.630000114440  
1961M01 1.570000000000  
1961M02 1.570000000000  
1961M03 1.570000000000  
1961M04 1.570000000000  
1961M05 1.570000000000  
1961M06 1.570000000000  
1961M07 1.570000000000  
1961M08 1.570000000000  
1961M09 1.570000000000  
1961M10 1.570000000000  
1961M11 1.570000000000  
1961M12 1.570000000000  
1962M01 1.520000000000  
1962M02 1.520000000000  
1962M03 1.520000000000  
1962M04 1.520000000000  
1962M05 1.520000000000  
1962M06 1.520000000000  
1962M07 1.520000000000  
1962M08 1.520000000000  
1962M09 1.520000000000  
1962M10 1.520000000000  
1962M11 1.520000000000  
1962M12 1.520000000000  
1963M01 1.500000000000  
1963M02 1.500000000000  
1963M03 1.500000000000  
1963M04 1.500000000000  
1963M05 1.500000000000  
1963M06 1.500000000000  
1963M07 1.500000000000  
1963M08 1.500000000000  
1963M09 1.500000000000  
1963M10 1.500000000000  
1963M11 1.500000000000  
1963M12 1.500000000000  
1964M01 1.450000000000  
1964M02 1.450000000000  
1964M03 1.450000000000  
1964M04 1.450000000000  
1964M05 1.450000000000  
1964M06 1.450000000000  
1964M07 1.450000000000  
1964M08 1.450000000000  
1964M09 1.450000000000  
1964M10 1.450000000000  
1964M11 1.450000000000  
1964M12 1.450000000000  
1965M01 1.420000000000  
1965M02 1.420000000000  
1965M03 1.420000000000  
1965M04 1.420000000000  
1965M05 1.420000000000  
1965M06 1.420000000000  
1965M07 1.420000000000  
1965M08 1.420000000000  
1965M09 1.420000000000  
1965M10 1.420000000000  
1965M11 1.420000000000  
1965M12 1.420000000000  
1966M01 1.360000000000  
1966M02 1.360000000000  
1966M03 1.360000000000  
1966M04 1.360000000000  
1966M05 1.360000000000  
1966M06 1.360000000000  
1966M07 1.360000000000  
1966M08 1.360000000000  
1966M09 1.360000000000  
1966M10 1.360000000000  
1966M11 1.360000000000  
1966M12 1.360000000000  
1967M01 1.330000000000  
1967M02 1.330000000000  
1967M03 1.330000000000  
1967M04 1.330000000000  
1967M05 1.330000000000  
1967M06 1.330000000000  
1967M07 1.330000000000  
1967M08 1.330000000000  
1967M09 1.330000000000  
1967M10 1.330000000000  
1967M11 1.330000000000  
1967M12 1.330000000000  
1968M01 1.320000000000  
1968M02 1.320000000000  
1968M03 1.320000000000  
1968M04 1.320000000000  
1968M05 1.320000000000  
1968M06 1.320000000000  
1968M07 1.320000000000  
1968M08 1.320000000000  
1968M09 1.320000000000  
1968M10 1.320000000000  
1968M11 1.320000000000  
1968M12 1.320000000000  
1969M01 1.270000000000  
1969M02 1.270000000000  
1969M03 1.270000000000  
1969M04 1.270000000000  
1969M05 1.270000000000  
1969M06 1.270000000000  
1969M07 1.270000000000  
1969M08 1.270000000000  
1969M09 1.270000000000  
1969M10 1.270000000000  
1969M11 1.270000000000  
1969M12 1.270000000000  
1970M01 1.210000000000  
1970M02 1.210000000000  
1970M03 1.210000000000  
1970M04 1.210000000000  
1970M05 1.210000000000  
1970M06 1.210000000000  
1970M07 1.210000000000  
1970M08 1.210000000000  
1970M09 1.210000000000  
1970M10 1.210000000000  
1970M11 1.210000000000  
1970M12 1.210000000000  
1971M01 1.640000000000  
1971M02 1.640000000000  
1971M03 1.640000000000  
1971M04 1.640000000000  
1971M05 1.640000000000  
1971M06 1.640000000000  
1971M07 1.740000000000  
1971M08 1.740000000000  
1971M09 1.740000000000  
1971M10 1.740000000000  
1971M11 1.740000000000  
1971M12 1.740000000000  
1972M01 1.770000000000  
1972M02 1.770000000000  
1972M03 1.770000000000  
1972M04 1.770000000000  
1972M05 1.770000000000  
1972M06 1.770000000000  
1972M07 1.870000000000  
1972M08 1.870000000000  
1972M09 1.870000000000  
1972M10 1.870000000000  
1972M11 1.870000000000  
1972M12 1.870000000000  
1973M01 2.080000000000  
1973M02 2.080000000000  
1973M03 2.080000000000  
1973M04 2.350000000000  
1973M05 2.350000000000  
1973M06 2.350000000000  
1973M07 2.700000000000  
1973M08 2.700000000000  
1973M09 2.700000000000  
1973M10 4.100000000000  
1973M11 4.100000000000  
1973M12 4.100000000000  
1974M01 13.000000000000  
1974M02 13.000000000000  
1974M03 13.000000000000  
1974M04 10.599998474100  
1974M05 10.599998474100  
1974M06 10.599998474100  
1974M07 10.000000000000  
1974M08 10.000000000000  
1974M09 10.000000000000  
1974M10 10.299999237100  
1974M11 10.299999237100  
1974M12 10.299999237100  
1975M01 10.420000076300  
1975M02 10.420000076300  
1975M03 10.420000076300  
1975M04 10.420000076300  
1975M05 10.420000076300  
1975M06 10.420000076300  
1975M07 10.430000305200  
1975M08 10.430000305200  
1975M09 10.430000305200  
1975M10 10.460000038100  
1975M11 10.460000038100  
1975M12 10.460000038100  
1976M01 11.510000228900  
1976M02 11.510000228900  
1976M03 11.510000228900  
1976M04 11.510000228900  
1976M05 11.510000228900  
1976M06 11.510000228900  
1976M07 11.600000381500  
1976M08 11.600000381500  
1976M09 11.600000381500  
1976M10 11.899999618500  
1976M11 11.899999618500  
1976M12 11.899999618500  
1977M01 12.500000000000  
1977M02 12.500000000000  
1977M03 12.500000000000  
1977M04 12.449999809300  
1977M05 12.449999809300  
1977M06 12.449999809300  
1977M07 12.630000114400  
1977M08 12.630000114400  
1977M09 12.630000114400  
1977M10 12.680000305200  
