Miesiac "Cena ($)"     
1996M07 38.400     
1996M08 38.350     
1996M09 38.100     
1996M10 37.600     
1996M11 35.700     
1996M12 35.350     
1997M01 35.230     
1997M02 34.600     
1997M03 34.500     
1997M04 35.400     
1997M05 35.730     
1997M06 34.500     
1997M07 35.000     
1997M08 36.930     
1997M09 37.150     
1997M10 37.150     
1997M11 33.600     
1997M12 31.400     
1998M01 31.400     
1998M02 33.440     
1998M03 31.880     
1998M04 31.180     
1998M05 30.280     
1998M06 30.000     
1998M07 30.000     
1998M08 26.200     
1998M09 27.090     
1998M10 27.100     
1998M11 26.100     
1998M12 26.100     
1999M01 26.100     
1999M02 26.100     
1999M03 26.100     
1999M04 26.100     
1999M05 26.100     
1999M06 26.100     
1999M07 26.100     
1999M08 26.100     
1999M09 26.100     
1999M10 25.600     
1999M11 25.100     
1999M12 25.100     
2000M01 25.100     
2000M02 25.100     
2000M03 25.100     
2000M04 25.100     
2000M05 25.600     
2000M06 25.600     
2000M07 25.600     
2000M08 25.600     
2000M09 27.150     
2000M10 27.150     
2000M11 27.150     
2000M12 30.750     
2001M01 32.100     
2001M02 32.100     
2001M03 32.600     
2001M04 33.500     
2001M05 33.800     
2001M06 33.900     
2001M07 34.000     
2001M08 33.800     
2001M09 32.800     
2001M10 32.400     
2001M11 29.400     
2001M12 27.350     
2002M01 27.350     
2002M02 28.100     
2002M03 27.800     
2002M04 27.088     
2002M05 26.875     
2002M06 24.900     
2002M07 23.150     
2002M08 22.250     
2002M09 22.700     
2002M10 24.500     
2002M11 24.500     
2002M12 24.500     
2003M01 24.900     
2003M02 25.150     
2003M03 24.400     
2003M04 23.450     
2003M05 23.300     
2003M06 24.100     
2003M07 24.350     
2003M08 25.325     
2003M09 26.700     
2003M10 27.500     
2003M11 29.913     
2003M12 34.000     
2004M01 37.750     
2004M02 41.750     
2004M03 48.938     
2004M04 53.250     
2004M05 56.438     
2004M06 59.550     
2004M07 61.375     
2004M08 59.250     
2004M09 55.375     
2004M10 56.625     
2004M11 52.825     
2004M12 52.250     
2005M01 53.045     
2005M02 49.898     
2005M03 50.925     
2005M04 51.250     
2005M05 51.313     
2005M06 51.000     
2005M07 50.900     
2005M08 49.125     
2005M09 45.250     
2005M10 42.458     
2005M11 38.063     
2005M12 38.225     
2006M01 43.188     
2006M02 47.700     
2006M03 49.750     
2006M04 52.875     
2006M05 52.600     
2006M06 52.375     
2006M07 52.750     
2006M08 50.938     
2006M09 47.100     
2006M10 44.050     
2006M11 46.000     
2006M12 49.750     
2007M01 51.288     
2007M02 52.900     
2007M03 55.380     
2007M04 56.120     
2007M05 56.000     
2007M06 61.600     
2007M07 67.310     
2007M08 69.350     
2007M09 68.440     
2007M10 74.810     
2007M11 84.600     
2007M12 91.000     
2008M01 91.750     
2008M02 132.000     
2008M03 118.250     
2008M04 123.000     
2008M05 133.200     
2008M06 159.750     
2008M07 180.000     
2008M08 158.400     
2008M09 150.000     
2008M10 108.000     
2008M11 92.250     
2008M12 78.650     
2009M01 79.400     
2009M02 75.380     
2009M03 61.000     
2009M04 63.560     
2009M05 64.500     
2009M06 71.380     
2009M07 73.800     
2009M08 72.500     
2009M09 67.640     
2009M10 71.070     
2009M11 78.800     
2009M12 83.100     
2010M01 97.000     
2010M02 94.190     
2010M03 94.375     
2010M04 100.150     
2010M05 100.130     
2010M06 98.188     
2010M07 95.980     
2010M08 89.780     
2010M09 94.900     
2010M10 97.450     
2010M11 107.160     
2010M12 118.290     
2011M01 132.480     
2011M02 128.360     
2011M03 126.130     
2011M04 122.340     
2011M05 118.380     
2011M06 119.280     
2011M07 120.000     
2011M08 119.270     
2011M09 122.550     
2011M10 118.988     
2011M11 113.800     
2011M12 109.663     
2012M01 115.900     
2012M02 117.020     
2012M03 107.460     
2012M04 103.590     
2012M05 95.830     
2012M06 87.190     
2012M07 88.240     
2012M08 91.000     
2012M09 88.960     
2012M10 81.850     
2012M11 85.890     
2012M12 92.880     
2013M01 92.770     
2013M02 94.940     
2013M03 90.980     
2013M04 87.760     
2013M05 87.710     
2013M06 82.754     
2013M07 77.259     
2013M08 76.960     
2013M09 77.613     
2013M10 79.413     
2013M11 82.250     
2013M12 84.338     
2014M01 81.610     
2014M02 76.290     
2014M03 73.340     
2014M04 72.820     
2014M05 73.690     
2014M06 71.480     
2014M07 68.750     
2014M08 68.940     
2014M09 65.940     
2014M10 63.710     
2014M11 62.550     
2014M12 62.440     
2015M01 62.100     
2015M02 61.400     
2015M03 60.115     
2015M04 57.814     
2015M05 60.397     
2015M06 58.841     
2015M07 59.130     
2015M08 58.573     
2015M09 54.745     
2015M10 52.314     
2015M11 52.571     
2015M12 52.291     
2016M01 49.816     
2016M02 50.708     
2016M03 52.190     
2016M04 50.910     
2016M05 51.480     
2016M06 53.170     
2016M07 63.071     
      
      
